instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,kerr,target_onset,target_color,target_pos,target_file,target_resp,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,odd_target_resp,odd_target_file,even_target_file,even_target_resp,participant,session,date,expName,psychopyVersion,OS,frameRate,train_block_note_resp.keys,train_block_note_resp.rt,blocks_train.thisRepN,blocks_train.thisTrialN,blocks_train.thisN,blocks_train.thisIndex,blocks_train.ran,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,too_slow,too_soon,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
,,,,,,0,1.823878879,#f3af84,,right_orange.png,p,,,,,,o,right_blue.png,right_orange.png,p,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,p,1,1.333,FALSE,TRUE,5,1,21,0,1,,,,,,,
,,,,,,0,1.730695157,#a3d0fb,,left_blue.png,w,,,,,,w,left_blue.png,left_orange.png,q,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,w,1,1.316,FALSE,TRUE,5,2,22,2,1,,,,,,,
,,,,,,0,2.262567336,#f3af84,,left_orange.png,q,,,,,,w,left_blue.png,left_orange.png,q,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,o,0,1.682,TRUE,FALSE,5,3,23,3,1,,,,,,,
,,,,,,0,2.306842,#a3d0fb,,right_blue.png,o,,,,,,o,right_blue.png,right_orange.png,p,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,o,1,1.703,TRUE,FALSE,6,0,24,0,1,,,,,,,
,,,,,,0,2.166396407,#f3af84,,right_orange.png,p,,,,,,o,right_blue.png,right_orange.png,p,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,p,1,1.55,FALSE,FALSE,6,1,25,1,1,,,,,,,
,,,,,,0,1.726275826,#a3d0fb,,right_blue.png,o,,,,,,o,right_blue.png,right_orange.png,p,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,w,0,1.34,FALSE,TRUE,6,2,26,0,1,,,,,,,
,,,,,,0,1.779591942,#f3af84,,right_orange.png,p,,,,,,o,right_blue.png,right_orange.png,p,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,o,0,1.119,FALSE,TRUE,6,3,27,1,1,,,,,,,
,,,,,,0,1.587149123,#a3d0fb,,left_blue.png,w,,,,,,w,left_blue.png,left_orange.png,q,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,o,0,1.169,FALSE,TRUE,7,0,28,3,1,,,,,,,
,,,,,,0,2.452346199,#f3af84,,left_orange.png,q,,,,,,w,left_blue.png,left_orange.png,q,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,w,0,1.881,TRUE,FALSE,7,1,29,2,1,,,,,,,
,,,,,,0,1.544840493,#a3d0fb,,left_blue.png,w,,,,,,w,left_blue.png,left_orange.png,q,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,q,0,1.017,FALSE,TRUE,7,2,30,2,1,,,,,,,
,,,,,,0,1.854648429,#f3af84,,right_orange.png,p,,,,,,o,right_blue.png,right_orange.png,p,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,p,1,1.349,FALSE,TRUE,7,3,31,1,1,,,,,,,
,,,,,,0,2.227351164,#a3d0fb,,left_blue.png,w,,,,,,w,left_blue.png,left_orange.png,q,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,o,0,1.751,TRUE,FALSE,8,0,32,3,1,,,,,,,
,,,,,,0,1.633873859,#f3af84,,right_orange.png,p,,,,,,o,right_blue.png,right_orange.png,p,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,p,1,1.039,FALSE,TRUE,8,1,33,1,1,,,,,,,
,,,,,,0,2.107436863,#a3d0fb,,right_blue.png,o,,,,,,o,right_blue.png,right_orange.png,p,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,o,1,1.529,FALSE,FALSE,8,2,34,1,1,,,,,,,
,,,,,,0,1.568723274,#f3af84,,right_orange.png,p,,,,,,o,right_blue.png,right_orange.png,p,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,p,1,1.136,FALSE,TRUE,8,3,35,1,1,,,,,,,
,,,,,,0,1.651027194,#a3d0fb,,left_blue.png,w,,,,,,w,left_blue.png,left_orange.png,q,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,w,1,1.316,FALSE,TRUE,9,0,36,2,1,,,,,,,
,,,,,,1,1.964210693,#f3af84,,left_orange.png,q,,,,,,w,left_blue.png,left_orange.png,q,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,o,0,1.503,FALSE,FALSE,9,1,37,3,1,,,,,,,
,,,,,,1,2.229316409,#a3d0fb,,right_blue.png,o,,,,,,o,right_blue.png,right_orange.png,p,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,p,0,1.73,TRUE,FALSE,9,2,38,1,1,,,,,,,
,,,,,,1,2.248227188,#f3af84,,right_orange.png,p,,,,,,o,right_blue.png,right_orange.png,p,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,w,0,1.766,TRUE,FALSE,9,3,39,0,1,,,,,,,
,,,,,,1,2.037182264,#a3d0fb,,right_blue.png,o,,,,,,o,right_blue.png,right_orange.png,p,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,w,0,1.434,FALSE,FALSE,10,0,40,0,1,,,,,,,
,,,,,,1,1.963790044,#f3af84,,left_orange.png,q,,,,,,w,left_blue.png,left_orange.png,q,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,o,0,1.634,TRUE,FALSE,10,1,41,3,1,,,,,,,
,,,,,,1,2.180566645,#a3d0fb,,left_blue.png,w,,,,,,w,left_blue.png,left_orange.png,q,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,w,1,1.818,TRUE,FALSE,10,2,42,2,1,,,,,,,
,,,,,,1,2.024767098,#f3af84,,right_orange.png,p,,,,,,o,right_blue.png,right_orange.png,p,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,q,0,1.65,TRUE,FALSE,10,3,43,0,1,,,,,,,
,,,,,,0,1.750472621,#a3d0fb,,left_blue.png,w,,,,,,w,left_blue.png,left_orange.png,q,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,w,1,1.516,FALSE,FALSE,11,0,44,3,1,,,,,,,
,,,,,,0,1.85214445,#f3af84,,left_orange.png,q,,,,,,w,left_blue.png,left_orange.png,q,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,q,1,1.367,FALSE,TRUE,11,1,45,2,1,,,,,,,
,,,,,,0,1.786943418,#a3d0fb,,left_blue.png,w,,,,,,w,left_blue.png,left_orange.png,q,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,o,0,1.6,TRUE,FALSE,11,2,46,3,1,,,,,,,
,,,,,,0,2.231011925,#f3af84,,right_orange.png,p,,,,,,o,right_blue.png,right_orange.png,p,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,p,1,1.866,TRUE,FALSE,11,3,47,0,1,,,,,,,
,,,,,,0,2.406909455,#a3d0fb,,right_blue.png,o,,,,,,o,right_blue.png,right_orange.png,p,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,w,0,1.806,TRUE,FALSE,12,0,48,0,1,,,,,,,
,,,,,,0,1.500674487,#f3af84,,left_orange.png,q,,,,,,w,left_blue.png,left_orange.png,q,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,p,0,1.386,FALSE,TRUE,12,1,49,3,1,,,,,,,
,,,,,,0,2.146006003,#a3d0fb,,left_blue.png,w,,,,,,w,left_blue.png,left_orange.png,q,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,w,1,1.799,TRUE,FALSE,12,2,50,2,1,,,,,,,
,,,,,,1,1.598986063,#f3af84,,left_orange.png,q,,,,,,w,left_blue.png,left_orange.png,q,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,w,0,1.431,FALSE,FALSE,12,3,51,3,1,,,,,,,
,,,,,,1,2.486619754,#a3d0fb,,right_blue.png,o,,,,,,o,right_blue.png,right_orange.png,p,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,w,0,2.086,TRUE,FALSE,13,0,52,0,1,,,,,,,
,,,,,,1,2.419865277,#f3af84,,left_orange.png,q,,,,,,w,left_blue.png,left_orange.png,q,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,o,0,1.942,TRUE,FALSE,13,1,53,3,1,,,,,,,
,,,,,,1,1.994715404,#a3d0fb,,right_blue.png,o,,,,,,o,right_blue.png,right_orange.png,p,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,w,0,1.8,TRUE,FALSE,13,2,54,1,1,,,,,,,
,,,,,,1,2.419599306,#f3af84,,left_orange.png,q,,,,,,w,left_blue.png,left_orange.png,q,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,w,0,2.017,TRUE,FALSE,13,3,55,3,1,,,,,,,
,,,,,,1,2.390793006,#a3d0fb,,right_blue.png,o,,,,,,o,right_blue.png,right_orange.png,p,60ef1280d72bd6dd52ad6006,001,2021-07-18_16h16.15.245,arrow_simon_norep,2021.1.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,w,0,2.098,TRUE,FALSE,14,0,56,1,1,,,,,,,
