instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,kerr,target_onset,target_color,target_pos,target_file,target_resp,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,odd_target_resp,odd_target_file,even_target_file,even_target_resp,target_side,participant,session,date,expName,psychopyVersion,OS,frameRate,train_block_note_resp.keys,train_block_note_resp.rt,blocks_train.thisRepN,blocks_train.thisTrialN,blocks_train.thisN,blocks_train.thisIndex,blocks_train.ran,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_num,too_slow,too_soon,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
space,0,35.7867,o,1,1.2905,0,0.64450501,#a3d0fb,,right_blue.png,o,0,0,0,1,1,o,right_blue.png,right_orange.png,p,right,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,0,1.4576,1,0.516056899,#f3af84,,left_orange.png,q,0,1,1,3,1,w,left_blue.png,left_orange.png,q,right,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.5063,0,0.380002087,#a3d0fb,,left_blue.png,w,0,2,2,3,1,w,left_blue.png,left_orange.png,q,right,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,1.3069,0,0.752641431,#f3af84,,left_orange.png,q,0,3,3,2,1,w,left_blue.png,left_orange.png,q,left,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.0546,0,0.375498132,#a3d0fb,,left_blue.png,w,1,0,4,2,1,w,left_blue.png,left_orange.png,q,left,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,0.7222,0,0.13817056,#f3af84,,left_orange.png,q,1,1,5,2,1,w,left_blue.png,left_orange.png,q,left,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,1,1.6068,0,0.878567617,#a3d0fb,,right_blue.png,o,1,2,6,0,1,o,right_blue.png,right_orange.png,p,left,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,1.0026,0,0.137721144,#f3af84,,left_orange.png,q,1,3,7,3,1,w,left_blue.png,left_orange.png,q,right,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,0,1.5243,1,0.829460267,#a3d0fb,,right_blue.png,o,2,0,8,1,1,o,right_blue.png,right_orange.png,p,right,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,0,1.1671,1,0.494027246,#f3af84,,right_orange.png,p,2,1,9,1,1,o,right_blue.png,right_orange.png,p,right,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,1,0.9111,0,0.324043452,#a3d0fb,,right_blue.png,o,2,2,10,1,1,o,right_blue.png,right_orange.png,p,right,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,0,2.3761,1,0.593689396,#f3af84,,right_orange.png,p,2,3,11,0,1,o,right_blue.png,right_orange.png,p,left,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,0,2.1088,1,0.713459391,#a3d0fb,,left_blue.png,w,3,0,12,2,1,w,left_blue.png,left_orange.png,q,left,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,1.563,0,0.216604951,#f3af84,,left_orange.png,q,3,1,13,2,1,w,left_blue.png,left_orange.png,q,left,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,1,1.8923,0,0.757807926,#a3d0fb,,right_blue.png,o,3,2,14,1,1,o,right_blue.png,right_orange.png,p,right,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,0,1.0034,1,0.404794613,#f3af84,,right_orange.png,p,3,3,15,1,1,o,right_blue.png,right_orange.png,p,right,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,1,0.9435,0,0.181646011,#a3d0fb,,right_blue.png,o,4,0,16,1,1,o,right_blue.png,right_orange.png,p,right,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.558,0,0.875292448,#f3af84,,right_orange.png,p,4,1,17,1,1,o,right_blue.png,right_orange.png,p,right,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,0,1.307,1,0.392067834,#a3d0fb,,right_blue.png,o,4,2,18,0,1,o,right_blue.png,right_orange.png,p,left,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.4502,0,0.593456179,#f3af84,,right_orange.png,p,4,3,19,0,1,o,right_blue.png,right_orange.png,p,left,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.2217,0,0.313380615,#a3d0fb,,left_blue.png,w,5,0,20,2,1,w,left_blue.png,left_orange.png,q,left,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.2108,0,0.004559849,#f3af84,,right_orange.png,p,5,1,21,1,1,o,right_blue.png,right_orange.png,p,right,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,0,1.4154,1,0.589657733,#a3d0fb,,right_blue.png,o,5,2,22,0,1,o,right_blue.png,right_orange.png,p,left,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.8961,0,0.210348297,#f3af84,,right_orange.png,p,5,3,23,0,1,o,right_blue.png,right_orange.png,p,left,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.488,0,0.368431065,#a3d0fb,,left_blue.png,w,6,0,24,2,1,w,left_blue.png,left_orange.png,q,left,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.5939,0,0.691533767,#f3af84,,right_orange.png,p,6,1,25,0,1,o,right_blue.png,right_orange.png,p,left,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,1,0.9922,0,0.162609714,#a3d0fb,,right_blue.png,o,6,2,26,0,1,o,right_blue.png,right_orange.png,p,left,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,1.3953,0,0.774116402,#f3af84,,left_orange.png,q,6,3,27,3,1,w,left_blue.png,left_orange.png,q,right,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,1,1.4052,0,0.372551285,#a3d0fb,,right_blue.png,o,7,0,28,1,1,o,right_blue.png,right_orange.png,p,right,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,1.2567,0,0.660570168,#f3af84,,left_orange.png,q,7,1,29,3,1,w,left_blue.png,left_orange.png,q,right,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,0,1.0529,1,0.505461862,#a3d0fb,,left_blue.png,w,7,2,30,3,1,w,left_blue.png,left_orange.png,q,right,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.4594,0,0.747757156,#f3af84,,right_orange.png,p,7,3,31,0,1,o,right_blue.png,right_orange.png,p,left,60fdf0adc7f5cc81445d07b0,001,2021-08-01_16h02.23.320,arrow_simon_norep,2021.1.2,MacIntel,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
