instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,kerr,target_onset,target_color,target_pos,target_file,target_resp,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,odd_target_resp,odd_target_file,even_target_file,even_target_resp,target_side,participant,session,date,expName,psychopyVersion,OS,frameRate,train_block_note_resp.keys,train_block_note_resp.rt,blocks_train.thisRepN,blocks_train.thisTrialN,blocks_train.thisN,blocks_train.thisIndex,blocks_train.ran,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_num,too_slow,too_soon,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
space,0,73.422665,w,1,3.445969999,0,0.073671791,#a3d0fb,,left_blue.png,w,0,0,0,2,1,w,left_blue.png,left_orange.png,q,left,6102feaf4f6002b3dbc4cdab,001,2021-08-01_12h30.45.680,arrow_simon_norep,2021.1.2,Win32,60.2300789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.637385,0,0.598882335,#f3af84,,right_orange.png,p,0,1,1,1,1,o,right_blue.png,right_orange.png,p,right,6102feaf4f6002b3dbc4cdab,001,2021-08-01_12h30.45.680,arrow_simon_norep,2021.1.2,Win32,60.2300789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,0,1.3683,1,0.657862289,#a3d0fb,,right_blue.png,o,0,2,2,0,1,o,right_blue.png,right_orange.png,p,left,6102feaf4f6002b3dbc4cdab,001,2021-08-01_12h30.45.680,arrow_simon_norep,2021.1.2,Win32,60.2300789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,2.367185,0,0.861868598,#f3af84,,right_orange.png,p,0,3,3,1,1,o,right_blue.png,right_orange.png,p,right,6102feaf4f6002b3dbc4cdab,001,2021-08-01_12h30.45.680,arrow_simon_norep,2021.1.2,Win32,60.2300789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,1,1.375994999,0,0.266938417,#a3d0fb,,right_blue.png,o,1,0,4,1,1,o,right_blue.png,right_orange.png,p,right,6102feaf4f6002b3dbc4cdab,001,2021-08-01_12h30.45.680,arrow_simon_norep,2021.1.2,Win32,60.2300789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,2.383155001,0,0.108604739,#f3af84,,left_orange.png,q,1,1,5,3,1,w,left_blue.png,left_orange.png,q,right,6102feaf4f6002b3dbc4cdab,001,2021-08-01_12h30.45.680,arrow_simon_norep,2021.1.2,Win32,60.2300789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,0,1.860919999,1,0.949795305,#a3d0fb,,left_blue.png,w,1,2,6,3,1,w,left_blue.png,left_orange.png,q,right,6102feaf4f6002b3dbc4cdab,001,2021-08-01_12h30.45.680,arrow_simon_norep,2021.1.2,Win32,60.2300789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,1.845205,0,0.192976294,#f3af84,,left_orange.png,q,1,3,7,3,1,w,left_blue.png,left_orange.png,q,right,6102feaf4f6002b3dbc4cdab,001,2021-08-01_12h30.45.680,arrow_simon_norep,2021.1.2,Win32,60.2300789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.277480001,0,0.445543646,#a3d0fb,,left_blue.png,w,2,0,8,2,1,w,left_blue.png,left_orange.png,q,left,6102feaf4f6002b3dbc4cdab,001,2021-08-01_12h30.45.680,arrow_simon_norep,2021.1.2,Win32,60.2300789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,2.018615,0,0.909309449,#f3af84,,left_orange.png,q,2,1,9,2,1,w,left_blue.png,left_orange.png,q,left,6102feaf4f6002b3dbc4cdab,001,2021-08-01_12h30.45.680,arrow_simon_norep,2021.1.2,Win32,60.2300789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
