instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,kerr,target_onset,target_color,target_pos,target_file,target_resp,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,odd_target_resp,odd_target_file,even_target_file,even_target_resp,target_side,participant,session,date,expName,psychopyVersion,OS,frameRate,train_block_note_resp.keys,train_block_note_resp.rt,blocks_train.thisRepN,blocks_train.thisTrialN,blocks_train.thisN,blocks_train.thisIndex,blocks_train.ran,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,too_slow,too_soon,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
space,0,71.574,w,1,38.635,0,0.894753925,#a3d0fb,,left_blue.png,w,0,0,0,3,1,w,left_blue.png,left_orange.png,q,right,60ea8c3fff09d1cae3f2119c,001,2021-07-19_02h57.15.998,arrow_simon_norep,2021.1.2,Win32,54.2888165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,0,15.833,1,0.144342453,#f3af84,,right_orange.png,p,0,1,1,1,1,o,right_blue.png,right_orange.png,p,right,60ea8c3fff09d1cae3f2119c,001,2021-07-19_02h57.15.998,arrow_simon_norep,2021.1.2,Win32,54.2888165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,12.166,0,0.123690794,#a3d0fb,,left_blue.png,w,0,2,2,3,1,w,left_blue.png,left_orange.png,q,right,60ea8c3fff09d1cae3f2119c,001,2021-07-19_02h57.15.998,arrow_simon_norep,2021.1.2,Win32,54.2888165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,0,7.547,1,0.664794867,#f3af84,,left_orange.png,q,0,3,3,2,1,w,left_blue.png,left_orange.png,q,left,60ea8c3fff09d1cae3f2119c,001,2021-07-19_02h57.15.998,arrow_simon_norep,2021.1.2,Win32,54.2888165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,7.58,0,0.728665667,#a3d0fb,,left_blue.png,w,1,0,4,3,1,w,left_blue.png,left_orange.png,q,right,60ea8c3fff09d1cae3f2119c,001,2021-07-19_02h57.15.998,arrow_simon_norep,2021.1.2,Win32,54.2888165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,0,2.248,1,0.176375508,#f3af84,,right_orange.png,p,1,1,5,0,1,o,right_blue.png,right_orange.png,p,left,60ea8c3fff09d1cae3f2119c,001,2021-07-19_02h57.15.998,arrow_simon_norep,2021.1.2,Win32,54.2888165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,0,26.782,1,0.831662025,#a3d0fb,,left_blue.png,w,1,2,6,2,1,w,left_blue.png,left_orange.png,q,left,60ea8c3fff09d1cae3f2119c,001,2021-07-19_02h57.15.998,arrow_simon_norep,2021.1.2,Win32,54.2888165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,11.794,0,0.853803462,#f3af84,,left_orange.png,q,1,3,7,2,1,w,left_blue.png,left_orange.png,q,left,60ea8c3fff09d1cae3f2119c,001,2021-07-19_02h57.15.998,arrow_simon_norep,2021.1.2,Win32,54.2888165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,1,17.766,0,0.050609886,#a3d0fb,,right_blue.png,o,2,0,8,1,1,o,right_blue.png,right_orange.png,p,right,60ea8c3fff09d1cae3f2119c,001,2021-07-19_02h57.15.998,arrow_simon_norep,2021.1.2,Win32,54.2888165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,19.274,0,0.080116456,#f3af84,,right_orange.png,p,2,1,9,1,1,o,right_blue.png,right_orange.png,p,right,60ea8c3fff09d1cae3f2119c,001,2021-07-19_02h57.15.998,arrow_simon_norep,2021.1.2,Win32,54.2888165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
