instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,kerr,target_onset,target_color,target_pos,target_file,target_resp,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,odd_target_resp,odd_target_file,even_target_file,even_target_resp,target_side,participant,session,date,expName,psychopyVersion,OS,frameRate,train_block_note_resp.keys,train_block_note_resp.rt,blocks_train.thisRepN,blocks_train.thisTrialN,blocks_train.thisN,blocks_train.thisIndex,blocks_train.ran,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_num,too_slow,too_soon,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
space,0,74.6501,o,0,12.638,1,0.502395343,#a3d0fb,,left_blue.png,w,0,0,0,3,1,w,left_blue.png,left_orange.png,q,right,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,0,1.3145,1,0.768587481,#f3af84,,left_orange.png,q,0,1,1,3,1,w,left_blue.png,left_orange.png,q,right,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,0,1.4972,1,0.212666253,#a3d0fb,,right_blue.png,o,0,2,2,0,1,o,right_blue.png,right_orange.png,p,left,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,2.2125,0,0.391905961,#f3af84,,left_orange.png,q,0,3,3,2,1,w,left_blue.png,left_orange.png,q,left,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,0,1.5018,1,0.098183805,#a3d0fb,,left_blue.png,w,1,0,4,3,1,w,left_blue.png,left_orange.png,q,right,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,0,1.5087,1,0.797454252,#f3af84,,left_orange.png,q,1,1,5,3,1,w,left_blue.png,left_orange.png,q,right,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,0,1.7366,1,0.108794866,#a3d0fb,,left_blue.png,w,1,2,6,3,1,w,left_blue.png,left_orange.png,q,right,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,0,6.5033,1,0.989897403,#f3af84,,right_orange.png,p,1,3,7,1,1,o,right_blue.png,right_orange.png,p,right,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,1,17.122,0,0.468930125,#a3d0fb,,right_blue.png,o,2,0,8,1,1,o,right_blue.png,right_orange.png,p,right,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,7.836,0,0.874501707,#f3af84,,right_orange.png,p,2,1,9,0,1,o,right_blue.png,right_orange.png,p,left,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,6.4946,0,0.439440493,#a3d0fb,,left_blue.png,w,2,2,10,3,1,w,left_blue.png,left_orange.png,q,right,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,8.1956,0,0.457371553,#f3af84,,left_orange.png,q,2,3,11,2,1,w,left_blue.png,left_orange.png,q,left,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,1,13.2625,0,0.781703319,#a3d0fb,,right_blue.png,o,3,0,12,0,1,o,right_blue.png,right_orange.png,p,left,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.6696,0,0.166699608,#f3af84,,right_orange.png,p,3,1,13,1,1,o,right_blue.png,right_orange.png,p,right,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,1,1.3634,0,0.612692561,#a3d0fb,,right_blue.png,o,3,2,14,1,1,o,right_blue.png,right_orange.png,p,right,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.5615,0,0.715590704,#f3af84,,right_orange.png,p,3,3,15,0,1,o,right_blue.png,right_orange.png,p,left,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,1,1.2097,0,0.64372752,#a3d0fb,,right_blue.png,o,4,0,16,1,1,o,right_blue.png,right_orange.png,p,right,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.8472,0,0.333743983,#f3af84,,right_orange.png,p,4,1,17,1,1,o,right_blue.png,right_orange.png,p,right,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,2.2742,0,0.832324266,#a3d0fb,,left_blue.png,w,4,2,18,3,1,w,left_blue.png,left_orange.png,q,right,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,1.4472,0,0.768585806,#f3af84,,left_orange.png,q,4,3,19,2,1,w,left_blue.png,left_orange.png,q,left,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,1,1.2605,0,0.233947186,#a3d0fb,,right_blue.png,o,5,0,20,0,1,o,right_blue.png,right_orange.png,p,left,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,2.9451,0,0.290137468,#f3af84,,left_orange.png,q,5,1,21,2,1,w,left_blue.png,left_orange.png,q,left,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,3.175,0,0.50059623,#a3d0fb,,left_blue.png,w,5,2,22,2,1,w,left_blue.png,left_orange.png,q,left,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,1.6128,0,0.579688669,#f3af84,,left_orange.png,q,5,3,23,3,1,w,left_blue.png,left_orange.png,q,right,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.3827,0,0.352472101,#a3d0fb,,left_blue.png,w,6,0,24,3,1,w,left_blue.png,left_orange.png,q,right,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,1.0212,0,0.353078279,#f3af84,,left_orange.png,q,6,1,25,3,1,w,left_blue.png,left_orange.png,q,right,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.3274,0,0.970023731,#a3d0fb,,left_blue.png,w,6,2,26,3,1,w,left_blue.png,left_orange.png,q,right,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,4.07,0,0.805083067,#f3af84,,right_orange.png,p,6,3,27,1,1,o,right_blue.png,right_orange.png,p,right,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,1,1.6591,0,0.583375236,#a3d0fb,,right_blue.png,o,7,0,28,0,1,o,right_blue.png,right_orange.png,p,left,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.2052,0,0.385841448,#f3af84,,right_orange.png,p,7,1,29,1,1,o,right_blue.png,right_orange.png,p,right,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.7793,0,0.214585281,#a3d0fb,,left_blue.png,w,7,2,30,2,1,w,left_blue.png,left_orange.png,q,left,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,3.2229,0,0.446521967,#f3af84,,right_orange.png,p,7,3,31,0,1,o,right_blue.png,right_orange.png,p,left,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,3.1573,0,0.83853982,#a3d0fb,,left_blue.png,w,8,0,32,2,1,w,left_blue.png,left_orange.png,q,left,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,0.8321,0,0.094546774,#f3af84,,left_orange.png,q,8,1,33,2,1,w,left_blue.png,left_orange.png,q,left,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,1,1.9131,0,0.253774397,#a3d0fb,,right_blue.png,o,8,2,34,1,1,o,right_blue.png,right_orange.png,p,right,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,2.2373,0,0.967665758,#f3af84,,left_orange.png,q,8,3,35,2,1,w,left_blue.png,left_orange.png,q,left,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,0,1.3377,1,0.538229641,#a3d0fb,,right_blue.png,o,9,0,36,0,1,o,right_blue.png,right_orange.png,p,left,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,4.3287,0,0.844948071,#f3af84,,right_orange.png,p,9,1,37,0,1,o,right_blue.png,right_orange.png,p,left,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,2.9497,0,0.99911523,#a3d0fb,,left_blue.png,w,9,2,38,2,1,w,left_blue.png,left_orange.png,q,left,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,1.2695,0,0.456794848,#f3af84,,left_orange.png,q,9,3,39,2,1,w,left_blue.png,left_orange.png,q,left,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,o,1,2.161,0,0.042801568,#a3d0fb,,right_blue.png,o,10,0,40,0,1,o,right_blue.png,right_orange.png,p,left,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,q,1,5.6928,0,0.009119416,#f3af84,,left_orange.png,q,10,1,41,3,1,w,left_blue.png,left_orange.png,q,right,6100934ff7cc3bbc93278195,001,2021-08-01_10h31.32.618,arrow_simon_norep,2021.1.2,Win32,60.03121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
